1F4D8,E683
1F4D9,E683
1F4DA,E683
1F4DB,[名札]
1F4DC,E70A
1F4DD,E689
1F4DE,E687
1F4DF,E65A
1F4E0,E6D0
1F4E1,[アンテナ]
1F4E2,[スピーカ]
1F4E3,[メガホン]
1F4E4,[送信BOX]
1F4E5,[受信BOX]
1F4E6,E685
1F4E7,E6D3
1F4E8,E6CF
1F4E9,E6CF
1F4EA,E665
1F4EB,E665
1F4EE,E665
1F4F0,[新聞]
1F4F1,E688
1F4F2,E6CE
1F4F3,[マナーモード]
1F4F4,[ケータイOFF]
1F4F6,[バリ3]
1F4F7,E681
1F4F9,E677
1F4FA,E68A
1F4FB,[ラジオ]
1F4FC,[ビデオ]
1F503,E735
1F50A,[スピーカ]
1F50B,[電池]
1F50C,[コンセント]
1F50D,E6DC
1F50E,E6DC
1F50F,E6D9
1F510,E6D9
1F511,E6D9
1F512,E6D9
1F513,E6D9
1F514,E713
1F516,[ブックマーク]
1F517,[リンク]
1F518,[ラジオボタン]
1F519,[←BACK]
1F51A,E6B9
1F51B,E6B8
1F51C,E6B7
1F51D,[TOP]
1F51E,[18禁]
1F51F,[10]
1F520,[ABCD]
1F521,[abcd]
1F522,[1234]
1F523,[記号]
1F524,[ABC]
1F525,[炎]
1F526,E6FB
1F527,E718
1F528,[ハンマー]
1F529,[ネジ]
1F52A,[包丁]
1F52B,[ピストル]
1F52E,[占い]
1F52F,[占い]
1F530,[若葉マーク]
1F531,E71A
1F532,E69C
1F533,E69C
1F534,E69C
1F535,E69C
1F536,◆
1F537,◆
1F538,◆
1F539,◆
1F53A,▲
1F53B,▼
1F53C,▲
1F53D,▼
1F550,E6BA
1F551,E6BA
1F552,E6BA
1F553,E6BA
1F554,E6BA
1F555,E6BA
1F556,E6BA
1F557,E6BA
1F558,E6BA
1F559,E6BA
1F55A,E6BA
1F55B,E6BA
1F5FB,E740
1F5FC,[東京タワー]
1F5FD,[自由の女神]
1F5FE,[日本地図]
1F5FF,[モアイ]
1F601,E753
1F602,E72A
1F603,E6F0
1F604,E6F0
1F605,E722
1F606,E72A
1F609,E729
1F60A,E6F0
1F60B,E752
1F60C,E721
1F60D,E726
1F60F,E72C
1F612,E725
1F613,E723
1F614,E720
1F616,E6F3
1F618,E726
1F61A,E726
1F61C,E728
1F61D,E728
1F61E,E6F2
1F620,E6F1
1F621,E724
1F622,E72E
1F623,E72B
1F624,E753
1F625,E723
1F628,E757
1F629,E6F3
1F62A,E701
1F62B,E72B
1F62D,E72D
1F630,E723
1F631,E757
1F632,E6F4
1F633,E72A
1F635,E6F4
1F637,[風邪ひき]
1F638,E753
1F639,E72A
1F63A,E6F0
1F63B,E726
1F63C,E753
1F63D,E726
1F63E,E724
1F63F,E72E
1F640,E6F3
1F645,E72F
1F646,E70B
1F647,m(_ _)m
1F648,(/_＼)
1F649,|(・×・)|
1F64A,(・×・)
1F64B,(^-^)/
1F64C,＼(^o^)／
1F64D,E6F3
1F64E,E6F1
1F64F,(>人<)
1F680,[ロケット]
1F683,E65B
1F684,E65D
1F685,E65D
1F687,E65C
1F689,[駅]
1F68C,E660
1F68F,[バス停]
1F691,[救急車]
1F692,[消防車]
1F693,[パトカー]
1F695,E65E
1F697,E65E
1F699,E65F
1F69A,[トラック]
1F6A2,E661
1F6A4,E6A3
1F6A5,E66D
1F6A7,[工事中]
1F6A8,[パトカー]
1F6A9,E6DE
1F6AA,E714
1F6AB,E738
1F6AC,E67F
1F6AD,E680
1F6B2,E71D
1F6B6,E733
1F6B9,[♂]
1F6BA,[♀]
1F6BB,E66E
1F6BC,[赤ちゃん]
1F6BD,E66E
1F6BE,E66E
1F6C0,E6F7
FE000,E63E
FE001,E63F
FE002,E640
FE003,E641
FE004,E642
FE005,E643
FE006,E644
FE007,E645
FE008,E6B3
FE009,E63E
FE00A,E63E
FE00B,[夕焼け]
FE00C,E63E
FE00D,[虹]
FE00E,[雪結晶]
FE010,E6B3
FE011,E69C
FE012,E69D
FE013,E69E
FE014,E69F
FE015,E6A0
FE016,E69E
FE017,[お月見]
FE018,E6B7
FE019,E6B8
FE01A,E6B9
FE01B,E71C
FE01C,E71C
FE01D,E71F
FE01E,E6BA
FE01F,E6BA
FE020,E6BA
FE021,E6BA
FE022,E6BA
FE023,E6BA
FE024,E6BA
FE025,E6BA
FE026,E6BA
FE027,E6BA
FE028,E6BA
FE029,E6BA
FE02A,E6BA
FE02B,E646
FE02C,E647
FE02D,E648
FE02E,E649
FE02F,E64A
FE030,E64B
FE031,E64C
FE032,E64D
FE033,E64E
FE034,E64F
FE035,E650
FE036,E651
FE037,[蛇使座]
FE038,E73F
FE039,[地球]
FE03A,[火山]
FE03B,E6B3
FE03C,E741
FE03D,E743
FE03E,E746
FE03F,E747
FE040,E748
FE041,[バラ]
FE042,E747
FE043,[風に舞う葉]
FE044,[若葉マーク]
FE045,[ハイビスカス]
FE046,[ひまわり]
FE047,[ヤシ]
FE048,[サボテン]
FE049,[稲穂]
FE04A,[とうもろこし]
FE04B,[キノコ]
FE04C,[栗]
FE04D,[花]
FE04E,E741
FE04F,E742
FE050,E744
FE051,E745
FE052,[みかん]
FE053,[イチゴ]
FE054,[スイカ]
FE055,[トマト]
FE056,[ナス]
FE057,[メロン]
FE058,[パイナップル]
FE059,[ブドウ]
FE05A,[モモ]
FE05B,E745
FE190,E691
FE191,E692
FE192,[鼻]
FE193,E6F9
FE194,E728
FE195,E710
FE196,[マニキュア]
FE197,[エステ]
FE198,E675
FE199,[床屋]
FE19A,E6B1
FE19B,E6F0
FE19C,E6F0
FE19D,E6F0
FE19E,E6F0
FE19F,[家族]
FE1A0,[カップル]
FE1A1,[警官]
FE1A2,[バニー]
FE1A3,[花嫁]
FE1A4,[白人]
FE1A5,[中国人]
FE1A6,[インド人]
FE1A7,[おじいさん]
FE1A8,[おばあさん]
FE1A9,[赤ちゃん]
FE1AA,[工事現場の人]
FE1AB,[お姫様]
FE1AC,[なまはげ]
FE1AD,[天狗]
FE1AE,[お化け]
FE1AF,[天使]
FE1B0,[UFO]
FE1B1,[宇宙人]
FE1B2,[アクマ]
FE1B3,[ドクロ]
FE1B4,[案内]
FE1B5,[衛兵]
FE1B6,[ダンス]
FE1B7,E6A1
FE1B8,E6A2
FE1B9,E74E
FE1BA,E74F
FE1BB,E74F
FE1BC,E750
FE1BD,E751
FE1BE,E754
FE1BF,E755
FE1C0,[トラ]
FE1C1,[クマ]
FE1C2,[ネズミ]
FE1C3,[クジラ]
FE1C4,[サル]
FE1C5,[タコ]
FE1C6,[巻貝]
FE1C7,[イルカ]
FE1C8,E74F
FE1C9,E751
FE1CA,[ハムスター]
FE1CB,[ゲジゲジ]
FE1CC,[ゾウ]
FE1CD,[コアラ]
FE1CE,[サル]
FE1CF,[ヒツジ]
FE1D0,E6A1
FE1D1,[牛]
FE1D2,[ウサギ]
FE1D3,[ヘビ]
FE1D4,[ニワトリ]
FE1D5,[イノシシ]
FE1D6,[ラクダ]
FE1D7,[カエル]
FE1D8,E6A1
FE1D9,E751
FE1DA,[アリ]
FE1DB,E698
FE1DC,[カメ]
FE1DD,E74F
FE1DE,[辰]
FE1DF,[パンダ]
FE1E0,E755
FE1E1,[ミツバチ]
FE1E2,[てんとう虫]
FE1E3,[カニ]
FE320,E6F1
FE321,E6F3
FE322,E6F4
FE323,E6F2
FE324,E6F4
FE325,E723
FE326,E725
FE327,E726
FE328,E753
FE329,E728
FE32A,E728
